clinic_id;code;name;price
231710;A21.30.008;Сеанс остеопатической коррекции (60 мин);0
77710;A17.30.025.01;Высокоинтенсивная магнитотерапия (SIS-терапия);0
25269;103;ПСА общий (Простатический специфический антиген общий) (Prostate-Specific Antigen Total, PSA Total);0
30368;A16.01.019;Вскрытие инфильтрата (угревого элемента) кожи и подкожно-жировой клетчатки;0
340;A04.12.005.003;Экстракраниальная допплерография (Сосуды шеи);0
526;A21.01.003.004;Массаж шейно-воротниковой области;0
293;A.06.10.72;Болюсное усиление 100 мл (Омнипак, в/в введ., 300 мг йода/мл);0
27477;A11.28.006.001;Забор мазка из уретры;0
54119;B01.069.001;Приём врача-остеопата первичный;0
486;A21.21.001;Массаж предстательной железы (простаты) (диагностический);0
27468;A11.21.004;Забор сока предстательной железы;0
15328;A04.14.001.005;Соноэластометрия печени;0
342786;A21.30.002.001;Общий медицинский массаж для детей от 0 до 1 года (с фитболом);0
23749;A.05.4.63;МРТ крестцово-подвздошных (илеосакральных) сочленений ;0
27770;A22.30.015.02;Ударно-волновая терапия крупных суставов (фокусная/радиальная);0
328;B03.052.001.02;УЗИ мочевыделительной системы у мужчин (почки, мочевой пузырь, предстательная железа);0
342888;B01.047.001.01;Прием терапевта первичный Колобов А.К.;0
592;B01.047.001;Прием терапевта первичный;0
323;A04.21.001;УЗИ предстательной железы (трансабдоминально);0
257;A.06.3.26;СКТ стопы;0
23673;B01.001.001.003;Акция! Прием врача первичный после МРТ/СКТ;0
27766;A22.20.008.01;Магнитолазеротерапия (SIS-терапия + LIL-терапия);0
20346;A04.21.002.01;УЗИ полового члена;0
304;А04.14.002;УЗИ желчного пузыря;0
585;A05.10.008;Суточное мониторирование ЭКГ (ХОЛТЕР);0
380;B01.004.001;Прием врача-гастроэнтеролога первичный;0
23674;B01.023.001.006;Акция! Прием врача первичный после МРТ/СКТ;0
19122;A03.30.006.001;Видеоэндоскопия гортани;0
381;B01.004.002;Прием врача-гастроэнтеролога повторный;0
23715;A.05.1.22;МРТ головного мозга, артерий и вен головного мозга;0
25634;518СПБ;Жидкостная цитология. Цитологическое исследование биоматериала шейки матки;0
23849;3020;ИНБИОФЛОР ? комплексное исследование микрофлоры урогенитального тракта (INBIOFLOR ? Comprehensive Study of Microflora Composition of Urogenital Tract (UGT));0
8747;B01.023.001.001;Прием невролога (КМН) первичный;0
8748;B01.023.002.001;Прием невролога (КМН) повторный;0
25093;31;Холестерин общий (Холестерин) (Cholesterol Total);0
27466;B01.025.002;Прием нефролога повторный;0
19034;A11.04.004.001;Плазмотерапия PRP-терапия CORTEXIL (1 пробирка 10мл);0
27595;A06.28.009.001.1;СКТ мочеполовой системы (почки, надпочечники, мочевой пузырь, мочеточники) ;0
23700;A.05.1.04;МРТ гипофиза (вкл. оценку эпифиза и турецкого седла);0
355;A04.06.002;УЗИ лимфатических узлов (одна анатомическая зона);0
20312;А04.24.001;УЗИ периферических нервов -1 нерв (лучевой, локтевой, срединный, седалищный,икроножный, малоберцовый, большеберцовый);0
23644;A.06.6.60;СКТ артерий нижних конечностей - 2 ноги (вкл. болюсное усиление Омнипак, в/в введ., 300 мг йода/мл);0
23781;A.05.9.104;"Программа ""Жизнь в движении 2"": комплексное исследование пояснично-крестцового отдела позвоночника и тазобедренных суставов (два сустава)";0
54433;A16.01.017.06;Удаление папиллом мошонки;0
25368;44;Ревматоидный фактор (РФ) (Rheumatoid Factor, RF);0
20344;A04.28.001;УЗИ почек и надпочечников;0
243;A.06.2.10;СКТ грудного отдела позвоночника;0
19107;A11.04.006.006;Блокада субакромиального пространства (Бетаметазон);0
18997;A16.08.016;Промывание лакун небных миндалин (ручным способом);0
165685;А15.01.003;Снятие послеоперационных швов;0
237;A.06.1.02;СКТ височных костей;0
346;A04.01.001;УЗИ мягких тканей (одна анатомическая зона);0
27555;А04.20.002.002.01;УЗИ молочных желез и лимфоузлов с допплеровским исследованием (врач КМН);0
27552;A04.22.001;УЗИ щитовидной железы и паращитовидных желез (врач КМН);0
20407;A21.25.002;Массаж барабанных перепонок;0
27589;А11.20.006;Забор материала для жидкостной цитологии;0
20394;A02.01.005;Проведение йодной пробы (Проба Шиллера);0
591;A16.01.004;Хирургическая обработка раны или инфицированной ткани;0
25419;61;Пролактин (Prolactin);0
25204;6161;Макропролактин (Macroprolactin)*;0
27769;A22.30.015.01;Ударно-волновая терапия средних суставов (фокусная/радиальная);0
25418;62;Эстрадиол (Э2) (Estradiol, E2);0
25512;64;Тестостерон (Testosterone);0
342892;B01.015.001.01;Прием  врача-кардиолога (КМН)  первичный;0
324;A04.21.001.001;УЗИ предстательной железы (трансректально);0
327;A04.28.003.01;УЗИ органов мошонки (с допплерографией сосудов);0
24695;33;Холестерин ЛПНП (Холестерин липопротеинов низкой плотности, ЛПНП, ?-холестерин) (Low-Density Lipoprotein Cholesterol, LDL Cholesterol)*;0
17931;A12.25.001;Аудиометрия;0
25567;60;Лютеинизирующий гормон (ЛГ) (Luteinizing Hormone, LH);0
25320;52;Трийодтиронин общий (Т3 общий) (Total Triiodthyronine, TT3);0
24638;172;Инсулин (Insulin);0
